brand,description,price_usd,type
AGOLDE,Zena ribbed-jersey bodysuit,200,clothing
CITIZENS OF HUMANITY,Raian frayed paneled organic denim midi skirt,460,clothing
THE ROW,Clio belted wool blazer,2890,clothing
JACQUEMUS,Colin asymmetric ribbed wool-blend mini dress,765,clothing
ERES,Les Essentiels Optique printed swimsuit,590,clothing
ZIMMERMANN,Devi lace-trimmed patchwork paisley-print linen mini dress,1150,clothing
THE ROW,Dhani oversized wool wrap coat,4490,clothing
LOEWE,Asymmetric embroidered wool-blend cardigan,2100,clothing
THE FRANKIE SHOP,Tansy pleated pinstriped crepe de chine straight-leg pants,244,clothing
MOTHER,+ NET SUSTAIN The Hustler cropped high-rise flared jeans,240,clothing
FARM RIO,Satin-trimmed velvet guipure lace maxi dress,330,clothing
ZIMMERMANN,+ NET SUSTAIN August belted floral-print linen playsuit,650,clothing
ZIMMERMANN,+ NET SUSTAIN Junie Billow belted organic silk midi dress,950,clothing
CHLOÉ,Double-breasted embellished silk and wool-blend blazer,3850,clothing
CHLOÉ,Bow-embellished velvet-trimmed wool and silk-blend satin top,1450,clothing
BALMAIN,Convertible hooded printed quilted shell ski jacket,3990,clothing
LORO PIANA,Parksville cashmere turtleneck sweater,2100,clothing
HIGH SPORT,Kick cropped stretch-cotton flared pants,860,clothing
ETRO,Ruffled printed stretch-crepe midi dress,2450,clothing
DOLCE & GABBANA,Pleated printed cotton-poplin dress,2195,clothing
GOLDBERGH,Parry belted hooded two-tone faux fur-trimmed ski suit,1219,clothing
ZIMMERMANN,Matchmaker belted printed linen and silk-blend mini dress,1450,clothing
VALENTINO GARAVANI,Oversized embellished printed silk-faille gown,11500,clothing
MOTHER,+ NET SUSTAIN The Weekender high-rise flared jeans,230,clothing
LANVIN,Cape-effect tie-detailed ruffled charmeuse dress,4510,clothing
FRAME,Le Jane Ankle cropped high-rise straight-leg jeans,280,clothing
ZIMMERMANN,Billow pussy-bow belted silk-satin midi dress,795,clothing
GOLDBERGH,Parry belted hooded faux fur-trimmed ski suit,1219,clothing
ZIMMERMANN,+ NET SUSTAIN August floral-print linen midi dress,850,clothing
MONCLER GRENOBLE,Buckled bootcut ski pants,1155,clothing
LA DOUBLEJ,Choux floral-print cotton-poplin mini shirt dress,790,clothing
16ARLINGTON,Adelaide one-shoulder feather-trimmed crepe midi dress,1450,clothing
MONCLER,Appliquéd cotton-blend jersey and quilted shell down jacket,1185,clothing
OSCAR DE LA RENTA,Silk-chiffon trimmed guipure lace midi dress,4290,clothing
ALLUDE,+ NET SUSTAIN Cashmere sweater,530,clothing
NORMA KAMALI,Ruched stretch-velvet midi dress,235,clothing
BOGNER,Macy-T quilted ski jacket,1500,clothing
BRUNELLO CUCINELLI,"Sequin-embellished wool, cashmere and silk-blend sweater",2650,clothing
THE ROW,Atis oversized double-breasted wool and cashmere-blend felt coat,4790,clothing
KHAITE,Shrunken Jo cashmere-blend polo shirt,780,clothing
ALEXANDER WANG,Cropped faux fur-trimmed stretch-knit cardigan,695,clothing
VALENTINO GARAVANI,Bow-embellished wool and silk-blend mini dress,4400,clothing
WE NORWEGIANS,Setesdal merino wool jumpsuit,349,clothing
JACQUEMUS,Chouchou convertible duchesse-satin midi dress,1355,clothing
JOHANNA ORTIZ,+ NET SUSTAIN Awash Mystery cutout printed cotton-voile halterneck mini dress,680,clothing
ZIMMERMANN,Devi crochet-trimmed patchwork paisley linen midi dress,1350,clothing
